task,method,metric,mean,std,ci95_lo,ci95_hi,n
T1_anomaly,threshold__full,fpr_at_recall_0_5,0.7514606923876275,0.0852173215770211,0.6620305979882244,0.8408907867870306,6
T1_anomaly,threshold__full,fpr_at_recall_0_8,0.8951520334532574,0.0882642060133963,0.8025244299356779,0.987779636970837,6
T1_anomaly,threshold__full,peak_rss_delta_mb,0.025390625,0.02206253319756709,0.0022374163560847787,0.04854383364391522,6
T1_anomaly,mlp_sequence__full,ap,0.008416412012029958,0.0029548830908312936,0.005315452384785595,0.011517371639274323,6
T1_anomaly,mlp_sequence__full,roc_auc,0.36167903839850685,0.14209594012807986,0.21255849454357384,0.5107995822534399,6
T1_anomaly,mlp_sequence__full,f1,0.01252457762042606,0.010420185878921831,0.0015892631847446246,0.023459892056107497,6
T1_anomaly,mlp_sequence__full,precision,0.006384591358822495,0.005310362162850167,0.0008117080443724055,0.011957474673272586,6
T1_anomaly,mlp_sequence__full,recall,0.34811446508427935,0.29044496338540277,0.043311169079353395,0.6529177610892053,6
T1_anomaly,mlp_sequence__full,brier,0.019375550970062383,0.00476733762974375,0.014372536953992043,0.024378564986132722,6
T1_anomaly,mlp_sequence__full,train_time_s,0.21272521665863073,0.0031142794229335026,0.20945698083960962,0.21599345247765184,6
T1_anomaly,mlp_sequence__full,precision_at_10,0.0,0.0,0.0,0.0,6
T1_anomaly,mlp_sequence__full,precision_at_50,0.0,0.0,0.0,0.0,6
T1_anomaly,mlp_sequence__full,precision_at_100,0.0033333333333333335,0.0051639777949432225,-0.002085929008311562,0.00875259567497823,6
T1_anomaly,mlp_sequence__full,precision_at_top1pct,0.0,0.0,0.0,0.0,6
T1_anomaly,mlp_sequence__full,fpr_at_recall_0_5,0.6790299588342638,0.22752707082606832,0.44025494166824974,0.9178049760002778,6
T1_anomaly,mlp_sequence__full,fpr_at_recall_0_8,0.8611703468724411,0.09893128754441732,0.7573483278225318,0.9649923659223504,6
T1_anomaly,mlp_sequence__full,peak_rss_delta_mb,0.55078125,1.1377103170952614,-0.6431725046371293,1.7447350046371293,6
T1_anomaly,gnn_graphsage_proxy__full,ap,0.03352102969592826,0.0160530715757562,0.01667436425452851,0.050367695137328014,6
T1_anomaly,gnn_graphsage_proxy__full,roc_auc,0.6845802068214799,0.06531722417943846,0.6160339838685014,0.7531264297744584,6
T1_anomaly,gnn_graphsage_proxy__full,f1,0.047496739752174534,0.03298902663628931,0.012876879474574575,0.0821166000297745,6
T1_anomaly,gnn_graphsage_proxy__full,precision,0.03141363308127905,0.023886697609403373,0.006346081290552936,0.056481184872005166,6
T1_anomaly,gnn_graphsage_proxy__full,recall,0.12164602683178534,0.08956170837301469,0.027656778095173112,0.21563527556839757,6
T1_anomaly,gnn_graphsage_proxy__full,brier,0.018063868603133502,0.0019051568936352035,0.016064529059359196,0.020063208146907808,6
T1_anomaly,gnn_graphsage_proxy__full,train_time_s,0.2061112333321944,0.012193612719463292,0.1933148215653006,0.21890764509908817,6
T1_anomaly,gnn_graphsage_proxy__full,precision_at_10,0.08333333333333333,0.07527726527090811,0.004334688284138105,0.16233197838252855,6
T1_anomaly,gnn_graphsage_proxy__full,precision_at_50,0.03666666666666667,0.02658320271650251,0.00876930631338918,0.06456402701994415,6
T1_anomaly,gnn_graphsage_proxy__full,precision_at_100,0.028333333333333335,0.013291601358251259,0.014384653156694587,0.042282013509972086,6
T1_anomaly,gnn_graphsage_proxy__full,precision_at_top1pct,0.05263157894736842,0.047075115315785045,0.003229275182770275,0.10203388271196656,6
T1_anomaly,gnn_graphsage_proxy__full,fpr_at_recall_0_5,0.209906723638826,0.048281279466101515,0.1592386282273209,0.26057481905033114,6
T1_anomaly,gnn_graphsage_proxy__full,fpr_at_recall_0_8,0.5846358711276721,0.1279932014464104,0.45031524386542277,0.7189564983899215,6
T1_anomaly,gnn_graphsage_proxy__full,peak_rss_delta_mb,0.5247395833333334,0.7929539971944568,-0.3074146021205102,1.356893768787177,6
T1_anomaly,majority__full,ap,0.009814139308667709,0.0014522532545477493,0.008290092985190366,0.011338185632145052,6
T1_anomaly,majority__full,roc_auc,0.5,0.0,0.5,0.5,6
T1_anomaly,majority__full,f1,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,precision,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,recall,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,brier,0.009814139308667709,0.0014522532545477493,0.008290092985190366,0.011338185632145052,6
T1_anomaly,majority__full,train_time_s,0.00043149998721977073,8.4464287863673e-05,0.0003428601532371984,0.0005201398212023431,6
T1_anomaly,majority__full,precision_at_10,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,precision_at_50,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,precision_at_100,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,precision_at_top1pct,0.0,0.0,0.0,0.0,6
T1_anomaly,majority__full,fpr_at_recall_0_5,0.4700404092354777,0.21747858315373,0.24181063315987095,0.6982701853110844,6
T1_anomaly,majority__full,fpr_at_recall_0_8,0.6666329896889377,0.2573798439687948,0.39652940843721685,0.9367365709406585,6
T1_anomaly,majority__full,peak_rss_delta_mb,0.056640625,0.05670120682550549,-0.0028636422677989215,0.11614489226779892,6
T2_failure,ecn_proposed__full,ap,0.015253811512895054,0.010391298112124808,0.004348812929247419,0.026158810096542688,6
T2_failure,ecn_proposed__full,roc_auc,0.6370518408113351,0.1179671056438491,0.5132529558133051,0.7608507258093652,6
T2_failure,ecn_proposed__full,f1,0.04042191510840309,0.03903310824281466,-0.0005408198175243448,0.08138465003433051,6
